date,location_id,temperature_c,weather_condition,precipitation_mm,is_holiday,is_school_holiday,has_local_event,day_of_week,week_of_year,is_weekend
2024-08-01,MUC_001,10.3,cloudy,9.3,0,0,0,3,31,0
2024-08-01,BER_001,18.6,sunny,0.0,0,0,0,3,31,0
2024-08-01,HAM_001,15.6,sunny,9.2,0,0,1,3,31,0
2024-08-02,MUC_001,10.0,sunny,0.0,0,0,0,4,31,0
2024-08-02,BER_001,11.8,cloudy,0.0,0,0,0,4,31,0
2024-08-02,HAM_001,13.8,sunny,0.0,0,0,0,4,31,0
2024-08-03,MUC_001,10.4,cloudy,3.1,0,0,0,5,31,1
2024-08-03,BER_001,18.7,cloudy,0.0,0,0,0,5,31,1
2024-08-03,HAM_001,15.5,rainy,0.0,0,0,0,5,31,1
2024-08-04,MUC_001,13.7,rainy,4.5,0,0,0,6,31,1
2024-08-04,BER_001,18.3,sunny,0.0,0,0,0,6,31,1
2024-08-04,HAM_001,18.5,cloudy,0.0,0,0,0,6,31,1
2024-08-05,MUC_001,16.7,rainy,3.0,0,0,0,0,32,0
2024-08-05,BER_001,13.5,sunny,0.0,0,0,0,0,32,0
2024-08-05,HAM_001,14.4,cloudy,0.0,0,0,0,0,32,0
2024-08-06,MUC_001,12.3,cloudy,4.3,0,0,0,1,32,0
2024-08-06,BER_001,19.4,cloudy,0.0,0,0,0,1,32,0
2024-08-06,HAM_001,16.5,cloudy,1.5,0,0,0,1,32,0
2024-08-07,MUC_001,18.7,sunny,5.8,0,0,0,2,32,0
2024-08-07,BER_001,18.2,sunny,0.0,0,0,0,2,32,0
2024-08-07,HAM_001,10.2,cloudy,0.0,0,0,1,2,32,0
2024-08-08,MUC_001,17.3,rainy,0.0,0,0,0,3,32,0
2024-08-08,BER_001,19.3,cloudy,2.6,0,0,0,3,32,0
2024-08-08,HAM_001,17.5,sunny,0.0,0,0,0,3,32,0
2024-08-09,MUC_001,18.0,cloudy,0.0,0,0,0,4,32,0
2024-08-09,BER_001,10.5,rainy,0.0,0,0,0,4,32,0
2024-08-09,HAM_001,14.7,rainy,0.0,0,0,0,4,32,0
2024-08-10,MUC_001,13.4,rainy,0.0,0,0,0,5,32,1
2024-08-10,BER_001,13.6,rainy,0.0,0,0,0,5,32,1
2024-08-10,HAM_001,13.3,sunny,6.1,0,0,0,5,32,1
2024-08-11,MUC_001,10.5,sunny,0.0,0,0,0,6,32,1
2024-08-11,BER_001,15.7,cloudy,0.0,0,0,1,6,32,1
2024-08-11,HAM_001,12.9,cloudy,0.0,0,0,0,6,32,1
2024-08-12,MUC_001,13.0,sunny,0.0,0,0,0,0,33,0
2024-08-12,BER_001,11.7,cloudy,2.0,0,0,1,0,33,0
2024-08-12,HAM_001,10.8,cloudy,0.0,0,0,0,0,33,0
2024-08-13,MUC_001,10.5,cloudy,0.0,0,0,0,1,33,0
2024-08-13,BER_001,11.6,rainy,0.0,0,0,0,1,33,0
2024-08-13,HAM_001,19.6,rainy,0.0,0,0,0,1,33,0
2024-08-14,MUC_001,17.5,rainy,0.0,0,0,0,2,33,0
2024-08-14,BER_001,14.1,rainy,0.0,0,0,0,2,33,0
2024-08-14,HAM_001,12.4,sunny,0.0,0,0,1,2,33,0
2024-08-15,MUC_001,11.3,sunny,0.0,0,0,0,3,33,0
2024-08-15,BER_001,17.7,rainy,0.0,0,0,0,3,33,0
2024-08-15,HAM_001,17.1,cloudy,0.0,0,0,1,3,33,0
2024-08-16,MUC_001,18.5,sunny,0.0,0,0,0,4,33,0
2024-08-16,BER_001,12.1,rainy,6.3,0,0,0,4,33,0
2024-08-16,HAM_001,12.9,cloudy,0.0,0,0,0,4,33,0
2024-08-17,MUC_001,14.6,sunny,0.0,0,0,0,5,33,1
2024-08-17,BER_001,19.6,rainy,0.0,0,0,0,5,33,1
2024-08-17,HAM_001,18.7,cloudy,2.7,0,0,0,5,33,1
2024-08-18,MUC_001,15.2,sunny,0.0,0,0,0,6,33,1
2024-08-18,BER_001,17.3,cloudy,0.0,0,0,0,6,33,1
2024-08-18,HAM_001,19.8,cloudy,0.0,0,0,0,6,33,1
2024-08-19,MUC_001,19.2,cloudy,0.0,0,0,0,0,34,0
2024-08-19,BER_001,10.4,sunny,0.0,0,0,0,0,34,0
