timestamp,location_id,robot_id,orders_completed,avg_prep_time_minutes,success_rate,error_count,downtime_minutes,ingredient_waste_kg,energy_consumption_kwh,maintenance_required
2024-08-01 00:00:00,MUC_001,MUC_001_ROBOT_1,12,9.06,0.9652,2,0,1.52,4.72,0
2024-08-01 00:00:00,BER_001,BER_001_ROBOT_1,24,8.69,0.9838,2,0,1.31,4.17,0
2024-08-01 00:00:00,HAM_001,HAM_001_ROBOT_1,11,8.07,0.9798,1,0,0.83,5.65,0
2024-08-01 01:00:00,MUC_001,MUC_001_ROBOT_1,15,10.13,0.9608,0,0,0.66,5.51,0
2024-08-01 01:00:00,BER_001,BER_001_ROBOT_1,23,10.11,0.9668,2,0,1.07,4.67,0
2024-08-01 01:00:00,HAM_001,HAM_001_ROBOT_1,25,10.65,0.9668,2,0,1.7,4.04,0
2024-08-01 02:00:00,MUC_001,MUC_001_ROBOT_1,22,10.72,0.9514,0,0,1.87,4.05,0
2024-08-01 02:00:00,BER_001,BER_001_ROBOT_1,19,8.84,0.9828,1,0,1.31,4.64,0
2024-08-01 02:00:00,HAM_001,HAM_001_ROBOT_1,28,9.01,0.979,0,0,1.67,5.43,0
2024-08-01 03:00:00,MUC_001,MUC_001_ROBOT_1,18,8.38,0.9891,0,0,0.59,5.29,0
2024-08-01 03:00:00,BER_001,BER_001_ROBOT_1,13,10.78,0.9741,0,0,0.52,5.45,0
2024-08-01 03:00:00,HAM_001,HAM_001_ROBOT_1,22,10.25,0.9736,0,0,1.87,5.51,0
2024-08-01 04:00:00,MUC_001,MUC_001_ROBOT_1,4,11.69,0.7843,9,33,1.19,4.39,1
2024-08-01 04:00:00,BER_001,BER_001_ROBOT_1,23,11.57,0.9666,0,0,1.97,4.53,0
2024-08-01 04:00:00,HAM_001,HAM_001_ROBOT_1,15,11.88,0.963,2,0,0.83,5.97,0
2024-08-01 05:00:00,MUC_001,MUC_001_ROBOT_1,19,8.4,0.9635,0,0,1.96,4.53,0
2024-08-01 05:00:00,BER_001,BER_001_ROBOT_1,25,8.61,0.9706,0,0,1.61,5.39,0
2024-08-01 05:00:00,HAM_001,HAM_001_ROBOT_1,22,9.78,0.9679,2,0,0.56,5.23,0
2024-08-01 06:00:00,MUC_001,MUC_001_ROBOT_1,13,11.91,0.9692,0,0,1.07,4.49,0
2024-08-01 06:00:00,BER_001,BER_001_ROBOT_1,26,9.62,0.9803,2,0,0.57,4.19,0
2024-08-01 06:00:00,HAM_001,HAM_001_ROBOT_1,30,10.18,0.9852,2,0,1.8,5.33,0
2024-08-01 07:00:00,MUC_001,MUC_001_ROBOT_1,11,11.67,0.9717,1,0,0.92,5.5,0
2024-08-01 07:00:00,BER_001,BER_001_ROBOT_1,26,10.41,0.9774,2,0,1.93,5.85,0
2024-08-01 07:00:00,HAM_001,HAM_001_ROBOT_1,19,8.71,0.976,1,0,0.87,5.26,0
2024-08-01 08:00:00,MUC_001,MUC_001_ROBOT_1,12,11.78,0.9668,2,0,0.87,5.87,0
2024-08-01 08:00:00,BER_001,BER_001_ROBOT_1,23,10.41,0.9885,2,0,1.51,5.65,0
2024-08-01 08:00:00,HAM_001,HAM_001_ROBOT_1,26,8.97,0.9503,1,0,0.65,5.4,0
2024-08-01 09:00:00,MUC_001,MUC_001_ROBOT_1,21,8.37,0.9841,1,0,1.09,5.84,0
2024-08-01 09:00:00,BER_001,BER_001_ROBOT_1,23,8.78,0.9848,0,0,0.92,4.09,0
2024-08-01 09:00:00,HAM_001,HAM_001_ROBOT_1,13,11.47,0.973,0,0,1.7,4.22,0
2024-08-01 10:00:00,MUC_001,MUC_001_ROBOT_1,16,11.92,0.9823,0,0,1.2,4.4,0
2024-08-01 10:00:00,BER_001,BER_001_ROBOT_1,12,10.31,0.9632,1,0,1.18,4.09,0
2024-08-01 10:00:00,HAM_001,HAM_001_ROBOT_1,19,9.69,0.9807,2,0,1.12,4.08,0
2024-08-01 11:00:00,MUC_001,MUC_001_ROBOT_1,13,9.55,0.9609,0,0,1.72,4.12,0
2024-08-01 11:00:00,BER_001,BER_001_ROBOT_1,24,10.67,0.977,2,0,1.5,4.77,0
2024-08-01 11:00:00,HAM_001,HAM_001_ROBOT_1,25,8.0,0.9725,1,0,1.47,4.52,0
2024-08-01 12:00:00,MUC_001,MUC_001_ROBOT_1,11,9.58,0.9679,1,0,0.65,4.94,0
2024-08-01 12:00:00,BER_001,BER_001_ROBOT_1,24,9.66,0.9866,2,0,1.46,5.07,0
2024-08-01 12:00:00,HAM_001,HAM_001_ROBOT_1,14,8.31,0.9825,1,0,1.69,5.83,0
2024-08-01 13:00:00,MUC_001,MUC_001_ROBOT_1,30,9.67,0.9543,0,0,1.76,4.63,0
2024-08-01 13:00:00,BER_001,BER_001_ROBOT_1,22,8.78,0.9878,1,0,0.57,5.26,0
2024-08-01 13:00:00,HAM_001,HAM_001_ROBOT_1,20,10.55,0.9753,0,0,1.23,5.88,0
2024-08-01 14:00:00,MUC_001,MUC_001_ROBOT_1,3,8.14,0.7154,10,43,0.63,5.28,1
2024-08-01 14:00:00,BER_001,BER_001_ROBOT_1,19,8.64,0.9538,0,0,2.0,4.23,0
2024-08-01 14:00:00,HAM_001,HAM_001_ROBOT_1,21,8.39,0.9507,2,0,1.61,5.76,0
2024-08-01 15:00:00,MUC_001,MUC_001_ROBOT_1,12,8.55,0.9793,0,0,1.46,5.6,0
2024-08-01 15:00:00,BER_001,BER_001_ROBOT_1,30,11.76,0.9711,2,0,0.65,4.42,0
2024-08-01 15:00:00,HAM_001,HAM_001_ROBOT_1,25,10.47,0.9818,1,0,0.78,5.9,0
2024-08-01 16:00:00,MUC_001,MUC_001_ROBOT_1,20,10.59,0.9798,1,0,1.23,5.06,0
2024-08-01 16:00:00,BER_001,BER_001_ROBOT_1,20,9.2,0.9741,2,0,1.75,5.57,0
2024-08-01 16:00:00,HAM_001,HAM_001_ROBOT_1,15,10.6,0.9663,0,0,0.98,5.35,0
2024-08-01 17:00:00,MUC_001,MUC_001_ROBOT_1,14,11.59,0.9701,2,0,1.99,4.79,0
2024-08-01 17:00:00,BER_001,BER_001_ROBOT_1,29,11.12,0.9597,0,0,0.98,4.47,0
2024-08-01 17:00:00,HAM_001,HAM_001_ROBOT_1,4,8.29,0.7602,3,32,0.63,4.69,1
2024-08-01 18:00:00,MUC_001,MUC_001_ROBOT_1,21,9.47,0.9644,0,0,1.4,5.23,0
2024-08-01 18:00:00,BER_001,BER_001_ROBOT_1,25,10.76,0.9823,1,0,0.66,4.35,0
2024-08-01 18:00:00,HAM_001,HAM_001_ROBOT_1,19,9.92,0.9573,0,0,1.33,5.04,0
2024-08-01 19:00:00,MUC_001,MUC_001_ROBOT_1,17,10.28,0.9892,1,0,1.26,5.06,0
2024-08-01 19:00:00,BER_001,BER_001_ROBOT_1,22,8.87,0.9696,1,0,0.96,4.28,0
