order_id,order_timestamp,location_id,item_id,item_name,category,quantity,unit_price,order_total,channel,customer_type,preparation_time_minutes
ORD_202408010000_MUC_001_2963,2024-08-01 00:00:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,returning,12
ORD_202408010000_MUC_001_1791,2024-08-01 00:00:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,1,11.9,11.9,web,new,11
ORD_202408010000_MUC_001_7500,2024-08-01 00:00:00,MUC_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,app,returning,8
ORD_202408010000_MUC_001_7137,2024-08-01 00:00:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,web,new,10
ORD_202408010000_MUC_001_3278,2024-08-01 00:00:00,MUC_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,app,new,10
ORD_202408010000_MUC_001_2523,2024-08-01 00:00:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,web,returning,9
ORD_202408010000_MUC_001_1278,2024-08-01 00:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,returning,13
ORD_202408010000_MUC_001_8347,2024-08-01 00:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,web,returning,10
ORD_202408010000_MUC_001_2822,2024-08-01 00:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,returning,10
ORD_202408010000_MUC_001_2244,2024-08-01 00:00:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,returning,13
ORD_202408010000_BER_001_2490,2024-08-01 00:00:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,new,7
ORD_202408010000_BER_001_7792,2024-08-01 00:00:00,BER_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,web,new,11
ORD_202408010000_BER_001_5880,2024-08-01 00:00:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,10
ORD_202408010000_HAM_001_5026,2024-08-01 00:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,app,new,15
ORD_202408010000_HAM_001_8610,2024-08-01 00:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,kiosk,returning,15
ORD_202408010000_HAM_001_4219,2024-08-01 00:00:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,kiosk,returning,10
ORD_202408010000_HAM_001_3997,2024-08-01 00:00:00,HAM_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,app,new,11
ORD_202408010000_HAM_001_6184,2024-08-01 00:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,web,new,9
ORD_202408010000_HAM_001_9587,2024-08-01 00:00:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,new,11
ORD_202408010030_MUC_001_2033,2024-08-01 00:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,returning,8
ORD_202408010030_MUC_001_8951,2024-08-01 00:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,web,new,10
ORD_202408010030_MUC_001_9680,2024-08-01 00:30:00,MUC_001,BURGER_001,Classic Burger,Burger,2,13.9,27.8,kiosk,new,9
ORD_202408010030_MUC_001_7937,2024-08-01 00:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,kiosk,new,11
ORD_202408010030_MUC_001_4726,2024-08-01 00:30:00,MUC_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,new,7
ORD_202408010030_MUC_001_5918,2024-08-01 00:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,returning,11
ORD_202408010030_BER_001_9550,2024-08-01 00:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,kiosk,new,12
ORD_202408010030_BER_001_3847,2024-08-01 00:30:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,kiosk,returning,11
ORD_202408010030_BER_001_2489,2024-08-01 00:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,app,returning,8
ORD_202408010030_BER_001_4414,2024-08-01 00:30:00,BER_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,returning,14
ORD_202408010030_BER_001_4440,2024-08-01 00:30:00,BER_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,returning,13
ORD_202408010030_BER_001_9757,2024-08-01 00:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,returning,9
ORD_202408010030_BER_001_8373,2024-08-01 00:30:00,BER_001,BURGER_001,Classic Burger,Burger,1,13.9,13.9,web,returning,13
ORD_202408010030_BER_001_5082,2024-08-01 00:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,web,returning,9
ORD_202408010030_BER_001_7609,2024-08-01 00:30:00,BER_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,returning,9
ORD_202408010030_HAM_001_1931,2024-08-01 00:30:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,kiosk,new,13
ORD_202408010030_HAM_001_6217,2024-08-01 00:30:00,HAM_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,app,returning,10
ORD_202408010030_HAM_001_9748,2024-08-01 00:30:00,HAM_001,PIZZA_002,Pepperoni Pizza,Pizza,1,14.9,14.9,web,new,14
ORD_202408010100_MUC_001_8085,2024-08-01 01:00:00,MUC_001,SALAD_001,Caesar Salad,Salad,2,9.9,19.8,web,returning,6
ORD_202408010100_HAM_001_1186,2024-08-01 01:00:00,HAM_001,PASTA_001,Pasta Carbonara,Pasta,2,11.9,23.8,web,new,8
ORD_202408010100_HAM_001_6418,2024-08-01 01:00:00,HAM_001,PIZZA_001,Margherita Pizza,Pizza,1,12.9,12.9,web,returning,15
ORD_202408010130_MUC_001_8635,2024-08-01 01:30:00,MUC_001,PIZZA_002,Pepperoni Pizza,Pizza,2,14.9,29.8,app,new,10
ORD_202408010130_MUC_001_7194,2024-08-01 01:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,app,returning,10
ORD_202408010130_MUC_001_9809,2024-08-01 01:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,2,10.9,21.8,kiosk,new,8
ORD_202408010130_MUC_001_7852,2024-08-01 01:30:00,MUC_001,BOWL_001,Veggie Bowl,Bowl,1,10.9,10.9,web,new,9
