date,location_id,total_orders,total_items_sold,total_revenue,avg_order_value,new_customer_rate,app_orders,kiosk_orders,web_orders,pizza_quantity,salad_quantity,pasta_quantity,bowl_quantity,burger_quantity,avg_success_rate,total_downtime_minutes,avg_prep_time,temperature_c,weather_condition,precipitation_mm,is_holiday,is_weekend,day_of_week,week_of_year,orders_lag_1d,orders_lag_7d,orders_rolling_7d_avg,month,year,days_since_start
2024-08-01,BER_001,565,849,10422.099999999942,18.44619469026549,0.48849557522123893,186,188,191,257,160,128,158,146,0.9746041666666667,0,9.965416666666666,18.6,sunny,0.0,0,0,3,31,,,,8,2024,0
2024-08-02,BER_001,698,1040,12882.999999999865,18.404285714285706,0.502865329512894,222,241,237,350,172,148,199,171,0.9700749999999999,0,10.224999999999998,11.8,cloudy,0.0,0,0,4,31,565,,565.0,8,2024,1
2024-08-03,BER_001,662,1003,12581.699999999886,19.005589123867072,0.5045317220543807,207,223,232,365,146,167,143,182,0.9605208333333334,37,9.6925,18.7,cloudy,0.0,0,1,5,31,698,,631.5,8,2024,2
2024-08-04,BER_001,527,792,9651.799999999952,18.27992424242425,0.45161290322580644,184,179,165,270,179,101,131,111,0.9463041666666667,108,9.892083333333334,18.3,sunny,0.0,0,1,6,31,662,,641.6666666666666,8,2024,3
2024-08-05,BER_001,579,872,10802.799999999923,18.657685664939528,0.531951640759931,211,192,176,293,149,138,143,149,0.9646416666666668,15,10.080833333333334,13.5,sunny,0.0,0,0,0,32,527,,613.0,8,2024,4
2024-08-06,BER_001,498,749,9209.099999999962,18.492168674698817,0.5301204819277109,172,173,153,249,139,150,119,92,0.9617333333333332,52,9.750833333333333,19.4,cloudy,0.0,0,0,1,32,579,,606.2,8,2024,5
2024-08-07,BER_001,557,825,10257.499999999942,18.41561938958709,0.4829443447037702,183,174,200,271,154,139,125,136,0.9716708333333333,0,10.172500000000001,18.2,sunny,0.0,0,0,2,32,498,,588.1666666666666,8,2024,6
2024-08-08,BER_001,548,827,10318.299999999934,18.829014598540148,0.4927007299270073,195,181,172,274,124,154,125,150,0.9568416666666668,58,10.138333333333335,19.3,cloudy,2.6,0,0,3,32,557,565,583.7142857142857,8,2024,7
2024-08-09,BER_001,693,1047,13029.29999999987,18.80129870129872,0.4963924963924964,218,218,257,372,167,161,176,171,0.9608416666666667,47,9.926250000000001,10.5,rainy,0.0,0,0,4,32,548,698,581.2857142857143,8,2024,8
2024-08-10,BER_001,724,1104,13618.599999999871,18.784275862068956,0.4558011049723757,244,257,224,363,221,192,160,168,0.9648708333333336,15,10.129583333333333,13.6,rainy,0.0,0,1,5,32,693,662,580.5714285714286,8,2024,9
2024-08-11,BER_001,618,918,11354.199999999919,18.37249190938511,0.5275080906148867,190,203,225,312,184,142,140,140,0.9560583333333335,43,10.090833333333332,15.7,cloudy,0.0,0,1,6,32,724,527,589.4285714285714,8,2024,10
2024-08-12,BER_001,602,898,11106.199999999912,18.38774834437087,0.48172757475083056,186,223,194,297,144,141,169,147,0.9683625,0,10.468749999999996,11.7,cloudy,2.0,0,0,0,33,618,579,602.4285714285714,8,2024,11
2024-08-13,BER_001,559,830,10220.999999999936,18.251785714285717,0.47048300536672627,181,183,195,264,146,130,152,138,0.9599583333333334,32,9.964583333333335,11.6,rainy,0.0,0,0,1,33,602,498,605.7142857142857,8,2024,12
2024-08-14,BER_001,572,850,10446.999999999933,18.23211169284465,0.5174825174825175,196,201,175,270,171,144,128,137,0.9714916666666666,0,9.868749999999999,14.1,rainy,0.0,0,0,2,33,559,557,614.4285714285714,8,2024,13
2024-08-15,BER_001,573,847,10475.299999999928,18.28150087260035,0.47294938917975565,200,197,176,297,141,157,127,125,0.9672541666666666,0,9.860833333333334,17.7,rainy,0.0,0,0,3,33,572,548,616.5714285714286,8,2024,14
2024-08-16,BER_001,696,1053,13139.699999999868,18.851793400286947,0.514367816091954,242,231,224,353,162,161,182,195,0.9391833333333333,164,10.321666666666669,12.1,rainy,6.3,0,0,4,33,573,693,620.1428571428571,8,2024,15
2024-08-17,BER_001,752,1128,13971.199999999853,18.554050464807435,0.48138297872340424,250,267,236,380,177,224,186,161,0.9627583333333334,44,9.80583333333333,19.6,rainy,0.0,0,1,5,33,696,724,620.5714285714286,8,2024,16
2024-08-18,BER_001,567,808,9970.199999999939,17.52231985940244,0.5132275132275133,183,196,188,285,146,113,138,126,0.9622291666666667,19,9.812916666666666,17.3,cloudy,0.0,0,1,6,33,752,618,624.5714285714286,8,2024,17
2024-08-19,BER_001,529,772,9469.799999999961,17.867547169811314,0.48582230623818523,177,166,186,249,162,118,122,121,0.9727916666666666,0,10.028749999999999,10.4,sunny,0.0,0,0,0,34,567,602,617.2857142857143,8,2024,18
2024-08-20,BER_001,579,863,10658.699999999924,18.40880829015545,0.5094991364421416,191,192,196,266,151,149,153,144,0.9541875,87,10.228749999999998,13.4,cloudy,0.0,0,0,1,34,529,559,606.8571428571429,8,2024,19
2024-08-21,BER_001,561,824,10171.599999999939,18.13119429590017,0.49910873440285203,166,192,203,266,158,144,122,134,0.9646916666666666,48,10.547499999999998,11.8,rainy,0.0,0,0,2,34,579,572,609.7142857142857,8,2024,20
2024-08-22,BER_001,506,769,9457.099999999964,18.653057199211037,0.5118577075098815,158,167,182,261,146,118,139,105,0.9604125000000001,34,9.377916666666668,18.9,rainy,0.0,0,0,3,34,561,573,608.1428571428571,8,2024,21
2024-08-23,BER_001,704,1066,13270.399999999869,18.85,0.5028409090909091,229,258,217,381,153,181,184,167,0.9522708333333334,75,9.668333333333333,17.7,cloudy,0.0,0,0,4,34,506,696,598.5714285714286,8,2024,22
2024-08-24,BER_001,647,982,12132.7999999999,18.723456790123464,0.4775888717156105,216,213,218,345,163,143,188,143,0.9643333333333332,33,9.704999999999998,10.1,sunny,0.0,0,1,5,34,704,752,599.7142857142857,8,2024,23
2024-08-25,BER_001,583,889,10983.099999999933,18.83893653516295,0.5042881646655232,180,215,188,284,147,175,144,139,0.9617,34,9.76,10.8,rainy,0.0,0,1,6,34,647,567,584.7142857142857,8,2024,24
2024-08-26,BER_001,543,809,9985.099999999944,18.38876611418046,0.5267034990791897,180,190,173,278,140,114,156,121,0.9716916666666666,0,9.687916666666665,17.5,sunny,0.0,0,0,0,35,583,529,587.0,8,2024,25
2024-08-27,BER_001,526,790,9870.999999999958,18.766159695817503,0.526615969581749,176,167,183,277,120,121,129,143,0.9578625000000001,30,9.773333333333333,14.2,rainy,0.0,0,0,1,35,543,579,589.0,8,2024,26
2024-08-28,BER_001,557,855,10628.499999999936,19.047491039426554,0.4883303411131059,187,179,192,304,128,162,142,119,0.9731791666666667,0,9.563749999999999,16.5,rainy,0.0,0,0,2,35,526,561,581.4285714285714,8,2024,27
2024-08-29,BER_001,571,848,10575.199999999932,18.52049036777584,0.4991243432574431,189,207,175,290,134,149,130,145,0.9632291666666667,49,9.719583333333334,19.5,cloudy,0.0,0,0,3,35,557,506,580.8571428571429,8,2024,28
2024-08-30,BER_001,707,1044,12938.599999999868,18.300707213578505,0.49363507779349364,227,256,224,359,167,194,160,164,0.9652708333333332,18,10.27125,12.3,cloudy,0.0,0,0,4,35,571,704,590.1428571428571,8,2024,29
2024-08-31,BER_001,753,1111,13688.899999999845,18.155039787798422,0.4900398406374502,236,268,250,349,187,179,213,183,0.9544833333333334,80,10.058333333333334,17.2,sunny,0.0,0,1,5,35,707,647,590.5714285714286,8,2024,30
2024-09-01,BER_001,578,875,10876.49999999992,18.81747404844292,0.48961937716262977,221,191,166,324,150,122,138,141,0.9542041666666667,58,9.48875,10.6,rainy,0.0,0,1,6,35,753,583,605.7142857142857,9,2024,31
2024-09-02,BER_001,517,773,9526.699999999966,18.391312741312753,0.5145067698259188,183,170,164,238,132,136,132,135,0.9562375,42,10.057916666666667,18.4,sunny,0.0,0,0,0,36,578,543,605.0,9,2024,32
2024-09-03,BER_001,537,814,10036.599999999946,18.690130353817498,0.5139664804469274,192,166,179,262,135,140,150,127,0.9588916666666667,31,9.962083333333334,18.4,rainy,0.0,0,0,1,36,517,526,601.2857142857143,9,2024,33
2024-09-04,BER_001,550,821,10103.899999999945,18.37072727272726,0.4727272727272727,188,191,171,273,144,128,159,117,0.9533333333333334,76,9.61,16.8,sunny,0.0,0,0,2,36,537,557,602.8571428571429,9,2024,34
2024-09-05,BER_001,581,889,10962.099999999928,18.867641996557662,0.5060240963855421,190,184,207,285,152,161,148,143,0.9571791666666666,15,10.146666666666668,19.3,rainy,0.1,0,0,3,36,550,571,601.8571428571429,9,2024,35
2024-09-06,BER_001,702,1067,13216.299999999872,18.79985775248935,0.5128205128205128,240,232,231,351,184,171,182,179,0.9730624999999999,0,9.963749999999997,12.8,sunny,0.0,0,0,4,36,581,707,603.2857142857143,9,2024,36
2024-09-07,BER_001,736,1109,13759.099999999862,18.694429347826073,0.5,244,240,252,391,181,178,189,170,0.9723,0,10.205833333333334,19.8,sunny,2.9,0,1,5,36,702,753,602.5714285714286,9,2024,37
2024-09-08,BER_001,541,814,10023.59999999995,18.493726937269347,0.5083179297597042,177,182,183,270,138,141,143,122,0.9512875000000001,69,9.731666666666667,10.4,cloudy,3.9,0,1,6,36,736,578,600.1428571428571,9,2024,38
2024-09-09,BER_001,517,776,9626.399999999952,18.583783783783794,0.4990328820116054,190,153,175,253,127,150,111,135,0.9674875,0,10.048750000000004,16.5,cloudy,0.0,0,0,0,37,541,517,594.8571428571429,9,2024,39
2024-09-10,BER_001,585,878,10886.199999999935,18.57713310580203,0.5094017094017094,182,216,188,303,162,134,139,140,0.9694166666666665,0,10.204583333333332,19.8,rainy,0.0,0,0,1,37,517,537,594.8571428571429,9,2024,40
2024-09-11,BER_001,582,888,10957.199999999933,18.794511149228143,0.5171821305841925,194,193,196,282,165,144,152,145,0.9569875,15,10.182916666666669,14.7,rainy,0.0,0,0,2,37,585,550,601.7142857142857,9,2024,41
